path,kind,bytes,sha256,source,description
data/FILE_MAP.csv,data,797,b76b32249f69ef8e4b1213446d6a523a99692c780d8aad506f56c74e63b187e1,(generated),SI 에 인쇄된 경로와 이 저장소의 실제 경로 대응표
data/D1_merged_labeled_kir.csv,data/D1,1707741,455c84a929fcfef119d95213051e3a9de8a2acd5c6a47f99637289a918a108f9,Kinase_paper/analysis_output/analysis_merged_labeled.csv,"KIR 화합물 × kinase (33,141행): 실험값, 이진 라벨, 방향교정 예측점수. 본문의 모든 per-drug·per-target·global 지표가 이 표에서 계산된다"
data/D1_merged_labeled_pkis2.csv.gz,data/D1,2619038,7ea02d507686e74f5bb75cff2df1fb0bf3aadcd5cdff38f66fbe01c4129a9457,PKIS2/PKIS2_result/analysis_merged_labeled.csv,"PKIS2 화합물 × kinase (246,132행): 위와 동일한 구조"
data/D2_kinase_ref_panels.tsv.gz,data/D2,222719,e0d578e29201143d0993509f31a91c6828d26cfda4ef5581d8c11bb856d5f9ff,Kinase_paper/kinase_ref_check/KINASE_REF_PANELS.tsv,"Kinase_ref 화합물 × kinase 패널 목록 (19,159행 / 403 kinase). 출처 시리즈·패널 크기·플랫폼·인용·단위·값·라벨·pool 소속, 그리고 원 논문 공개값과 Methods S3 복원분을 구분하는 reported 플래그"
data/D3_per_drug_roc_ci.csv,data/D3,49618,12dacf3ced4c46a0d40d82888ee8396669823440aab8c33a56cbdee1e4ad12e5,Kinase_paper/low_auc_analysis/per_drug_ci.csv,두 패널의 화합물별 per-drug ROC 와 Hanley–McNeil 95% 신뢰구간 (Table S1·S11 의 출처)
data/D4_per_target_metrics.csv,data/D4,56031,7c82e4d374cedf018a1e7e5c8e27ec6c4eba3a995e62294d89c99632dbae02f6,Kinase_paper/analysis_output/analysis_per_target_metrics.csv,타겟별 전체 지표 (Table S4 의 출처)
data/D4_target_preference_vs_pdbbind.csv,data/D4,34780,977ba1d575079f9a43dd52280cbc18cb6fd5e4caf6e35b5296623b3c936e3251,Kinase_paper/pdbbind_analysis/target_pref_vs_npdb.csv,618 pool 전 항목에 대한 리간드 무관 표적 선호도 대 PDBbind 학습 빈도
data/D5_protein_coverage.csv,data/D5,33208,f9368afd1d259285a864672157e30876630c8c74f0e8291149a2aae3d6a591ea,Kinase_paper/analysis_output/analysis_protein_coverage.csv,실험 패널에서 도달 가능한 모든 UniProt 항목과 실험·예측·병합 각 단계의 포함 여부 및 제외 사유
data/D6_predictions/KIR__AD4-energy.csv.gz,data/D6,2821444,19d353eed1eb91cea0784e5205303afc7eb748b2ae704030c8e566ebf46d508d,Kinase_paper/DOCK/redock_zscore_long.csv,KIR 패널 AD4-energy 의 병합 전 per-pair 예측 (z-score long 형식)
data/D6_predictions/KIR__AK-Score2.csv.gz,data/D6,2941614,6b494e93c068816cd7e2b1519d87f02fb53bb6288abe9ba125cf07ce446bd6a9,Kinase_paper/result_87/redock_zscore_long.csv,KIR 패널 AK-Score2 의 병합 전 per-pair 예측 (z-score long 형식)
data/D6_predictions/KIR__GenScore.csv.gz,data/D6,2715498,c51141e844cf1c12eba1c2ebf19644a6277b9074bdcf5e8087831292caf656c7,Kinase_paper/Gen/redock_zscore_long.csv,KIR 패널 GenScore 의 병합 전 per-pair 예측 (z-score long 형식)
data/D6_predictions/KIR__RTMScore.csv.gz,data/D6,2960863,f569b733a4beab5a9a55683073c5a7b76b0f8e84a70b00b778f74125665a33d2,Kinase_paper/RTM/redock_zscore_long.csv,KIR 패널 RTMScore 의 병합 전 per-pair 예측 (z-score long 형식)
data/D6_predictions/Kinase_ref__AD4-energy.csv.gz,data/D6,1584607,5f1e4a0ffdfed51275ae4c6e3270550cd0dacc54afc89b3991d70ae44c7c28bf,Kinase_ref/DOCK/redock_zscore_long.csv,Kinase_ref 패널 AD4-energy 의 병합 전 per-pair 예측 (z-score long 형식)
data/D6_predictions/Kinase_ref__AK-Score2.csv.gz,data/D6,1662190,88502c2f81c9f9498ef1af728bebf4cf379bc016488fd41e8969f939d4b61068,Kinase_ref/AK/redock_zscore_long.csv,Kinase_ref 패널 AK-Score2 의 병합 전 per-pair 예측 (z-score long 형식)
data/D6_predictions/Kinase_ref__GenScore.csv.gz,data/D6,1536964,01763ddffa9495028a17f22d5aba42663295f136e1edb20b1f7bc043a6de4a77,Kinase_paper/Gen2/redock_zscore_long.csv,Kinase_ref 패널 GenScore 의 병합 전 per-pair 예측 (z-score long 형식)
